,variable,indice,par,stat,wilcox_p,fdrbh_p,holm_p,bonfer_p
1,timeTrain,t_wa_roc,30-60,637.5,0.455079460531738,0.455079460531738,1,1
2,timeTrain,t_wa_roc,120-60,612,0.344402142241866,0.455079460531738,1,1
0,timeTrain,t_wa_prc,30-120,597,0.284562391990038,0.36119870311527,0.569124783980076,0.853687175970114
1,timeTrain,t_wa_prc,30-60,616,0.36119870311527,0.36119870311527,0.569124783980076,1
2,timeTrain,t_wa_prc,120-60,561,0.164748086084137,0.36119870311527,0.494244258252411,0.494244258252411
0,timeTrain,t_kappa,30-120,585,0.206105957827871,0.366085510338626,0.618317873483612,0.618317873483612
1,timeTrain,t_kappa,30-60,643,0.476945945492955,0.476945945492955,0.618317873483612,1
2,timeTrain,t_kappa,120-60,592.5,0.244057006892417,0.366085510338626,0.618317873483612,0.732171020677251
0,timeTrain,t_p_tpr,30-120,614.5,0.350560680754241,0.435417153414421,1,1
1,timeTrain,t_p_tpr,30-60,627.5,0.407998653717578,0.435417153414421,1,1
2,timeTrain,t_p_tpr,120-60,633.5,0.435417153414421,0.435417153414421,1,1
0,timeTrain,t_p_fpr,30-120,643,0.478869336680473,0.478869336680473,1,1
1,timeTrain,t_p_fpr,30-60,623.5,0.388657293497421,0.478869336680473,1,1
2,timeTrain,t_p_fpr,120-60,621.5,0.379916290611101,0.478869336680473,1,1
0,timeTrain,t_p_precision,30-120,606,0.316548841159638,0.404884099681113,0.814265883390796,0.949646523478913
1,timeTrain,t_p_precision,30-60,626.5,0.404884099681113,0.404884099681113,0.814265883390796,1
2,timeTrain,t_p_precision,120-60,594.5,0.271421961130265,0.404884099681113,0.814265883390796,0.814265883390796
0,timeTrain,t_p_recall,30-120,614.5,0.350560680754241,0.435417153414421,1,1
1,timeTrain,t_p_recall,30-60,627.5,0.407998653717578,0.435417153414421,1,1
2,timeTrain,t_p_recall,120-60,633.5,0.435417153414421,0.435417153414421,1,1
0,timeTrain,t_p_f,30-120,604,0.308274620859788,0.462411931289682,0.819557610352664,0.924823862579363
1,timeTrain,t_p_f,30-60,644,0.484000787941317,0.484000787941317,0.819557610352664,1
2,timeTrain,t_p_f,120-60,595,0.273185870117555,0.462411931289682,0.819557610352664,0.819557610352664
0,timeTrain,t_p_mcc,30-120,617,0.361704459933967,0.433543794448274,0.886875507929149,1
1,timeTrain,t_p_mcc,30-60,633,0.433543794448274,0.433543794448274,0.886875507929149,1
2,timeTrain,t_p_mcc,120-60,601,0.295625169309716,0.433543794448274,0.886875507929149,0.886875507929149
0,timeTrain,t_p_roc,30-120,614,0.352597904427868,0.432782150919576,0.858699654282859,1
1,timeTrain,t_p_roc,30-60,632.5,0.432782150919576,0.432782150919576,0.858699654282859,1
2,timeTrain,t_p_roc,120-60,597.5,0.286233218094286,0.432782150919576,0.858699654282859,0.858699654282859
0,timeTrain,t_p_prc,30-120,614.5,0.354956599710999,0.354956599710999,0.660167467327524,1
1,timeTrain,t_p_prc,30-60,608.5,0.330083733663762,0.354956599710999,0.660167467327524,0.990251200991285
2,timeTrain,t_p_prc,120-60,571,0.194282159511365,0.354956599710999,0.582846478534096,0.582846478534096
0,timeTrain,t_n_tpr,30-120,643,0.478869336680473,0.478869336680473,1,1
1,timeTrain,t_n_tpr,30-60,623.5,0.388657293497421,0.478869336680473,1,1
2,timeTrain,t_n_tpr,120-60,621.5,0.379916290611101,0.478869336680473,1,1
0,timeTrain,t_n_fpr,30-120,614.5,0.350560680754241,0.435417153414421,1,1
1,timeTrain,t_n_fpr,30-60,627.5,0.407998653717578,0.435417153414421,1,1
2,timeTrain,t_n_fpr,120-60,633.5,0.435417153414421,0.435417153414421,1,1
0,timeTrain,t_n_precision,30-120,597,0.279546429433004,0.424643639479284,0.838639288299013,0.838639288299013
1,timeTrain,t_n_precision,30-60,611.5,0.338882288666703,0.424643639479284,0.838639288299013,1
2,timeTrain,t_n_precision,120-60,631,0.424643639479284,0.424643639479284,0.838639288299013,1
0,timeTrain,t_n_recall,30-120,643,0.478869336680473,0.478869336680473,1,1
1,timeTrain,t_n_recall,30-60,623.5,0.388657293497421,0.478869336680473,1,1
2,timeTrain,t_n_recall,120-60,621.5,0.379916290611101,0.478869336680473,1,1
0,timeTrain,t_n_f,30-120,571.5,0.190756818608616,0.338797781447577,0.572270455825847,0.572270455825847
1,timeTrain,t_n_f,30-60,647,0.497712731106621,0.497712731106621,0.572270455825847,1
2,timeTrain,t_n_f,120-60,582,0.225865187631718,0.338797781447577,0.572270455825847,0.677595562895153
0,timeTrain,t_n_mcc,30-120,617,0.361704459933967,0.433543794448274,0.886875507929149,1
1,timeTrain,t_n_mcc,30-60,633,0.433543794448274,0.433543794448274,0.886875507929149,1
2,timeTrain,t_n_mcc,120-60,601,0.295625169309716,0.433543794448274,0.886875507929149,0.886875507929149
0,timeTrain,t_n_roc,30-120,627.5,0.410679861290393,0.466270739977218,1,1
1,timeTrain,t_n_roc,30-60,640,0.466270739977218,0.466270739977218,1,1
2,timeTrain,t_n_roc,120-60,621,0.382492403793833,0.466270739977218,1,1
0,timeTrain,t_n_prc,30-120,593.5,0.271409671605451,0.407114507408177,0.690744230733299,0.814229014816354
1,timeTrain,t_n_prc,30-60,636,0.448426290926134,0.448426290926134,0.690744230733299,1
2,timeTrain,t_n_prc,120-60,582,0.2302480769111,0.407114507408177,0.690744230733299,0.690744230733299
0,timeTrain,t_cci%,30-120,585,0.206105957827871,0.366085510338626,0.618317873483612,0.618317873483612
1,timeTrain,t_cci%,30-60,643,0.476945945492955,0.476945945492955,0.618317873483612,1
2,timeTrain,t_cci%,120-60,592.5,0.244057006892417,0.366085510338626,0.618317873483612,0.732171020677251
0,timeTrain,t_d_cci%,30-120,620.5,0.379323707861189,0.425654421927897,0.842795742635854,1
1,timeTrain,t_d_cci%,30-60,631,0.425654421927897,0.425654421927897,0.842795742635854,1
2,timeTrain,t_d_cci%,120-60,596.5,0.280931914211951,0.425654421927897,0.842795742635854,0.842795742635854
0,minRepWord,t_wa_tpr,3-2,289.5,0.0618227117053984,0.344426696839485,0.37093627023239,0.37093627023239
1,minRepWord,t_wa_tpr,3-4,362.5,0.488807460419417,0.488807460419417,0.891799167511819,1
2,minRepWord,t_wa_tpr,3-1,310,0.145888654929486,0.344426696839485,0.729443274647428,0.875331929576914
3,minRepWord,t_wa_tpr,2-4,327,0.22961779789299,0.344426696839485,0.891799167511819,1
4,minRepWord,t_wa_tpr,2-1,340.5,0.306925377683157,0.368310453219788,0.891799167511819,1
5,minRepWord,t_wa_tpr,4-1,324,0.222949791877955,0.344426696839485,0.891799167511819,1
